Arrest Key,Relates Incident Number,Day of the Week,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Arrest Type,Weapon Code,Street Number,Street Name,City,Location
37058,18008504,Mon,08/28/2017 12:00:00 AM,825,50,Female,Black,Not Hispanic,Taken into Custody,None,1900,DARROW AV,EVANSTON,"(42.052982334727446, -87.69734651386223)"
48341,18000033,Tue,01/02/2018 12:00:00 AM,1900,17,Male,White,,Taken into Custody,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
48343,18000040,Wed,01/03/2018 12:00:00 AM,1214,42,Male,Black,,On View,,1900,MAPLE AV,EVANSTON,"(42.05301942527244, -87.68471901579495)"
48345,18000055,Wed,01/03/2018 12:00:00 AM,1844,31,Female,Black,,Taken into Custody,Personal (Hands/Fist/Feet),400,RIDGE AV,EVANSTON,"(42.025837474313164, -87.68535997696793)"
48348,18000104,Fri,01/05/2018 12:00:00 AM,1008,19,Male,White,Not Hispanic,,None,1400,HARTREY AV,EVANSTON,"(42.04338911487455, -87.70375540569039)"
48352,18000151,Sun,01/07/2018 12:00:00 AM,438,32,Male,Black,,On View,None,400,MAIN ST,EVANSTON,"(42.03391736294115, -87.67688522083806)"
48360,18000233,Wed,01/10/2018 12:00:00 AM,422,38,Male,Black,,On View,Personal (Hands/Fist/Feet),800,SEWARD ST,EVANSTON,"(42.02880071164125, -87.68320801876644)"
48365,18000256,Wed,01/10/2018 12:00:00 AM,2200,20,Male,White,,Taken into Custody,None,1300,MAPLE AV,EVANSTON,"(42.04195949640337, -87.68509523408089)"
48369,18000277,Thu,01/11/2018 12:00:00 AM,1946,26,Male,Black,,Taken into Custody,None,1400,HOWARD ST,EVANSTON,"(42.019473609180395, -87.69283702200437)"
48370,18000280,Thu,01/11/2018 12:00:00 AM,1638,19,Male,Black,,Taken into Custody,Other,2000,MC CORMICK BL,EVANSTON,"(42.05685478444287, -87.7010244836222)"
48372,18000277,Thu,01/11/2018 12:00:00 AM,2057,32,Male,Black,,On View,None,1400,HOWARD ST,EVANSTON,"(42.019473609180395, -87.69283702200437)"
48373,18000291,Fri,01/12/2018 12:00:00 AM,104,24,Male,Black,,Taken into Custody,,,ISABELLA/GREENBAY,,
48379,18000369,Sun,01/14/2018 12:00:00 AM,2022,19,Male,Black,Not Hispanic,Warrant,None,100,CHICAGO AV,EVANSTON,"(42.0202707903477, -87.67653060029382)"
48383,18000324,Sat,01/13/2018 12:00:00 AM,100,29,Male,White,,Taken into Custody,,2300,EMERSON ST,EVANSTON,"(42.05197366619142, -87.70573586402823)"
48388,18000409,Tue,01/16/2018 12:00:00 AM,35,32,Male,Black,Not Hispanic,Taken into Custody,Motor Vehicle,2800,BIRCHWOOD AVENUE,CHICAGO,
48394,18000444,Tue,01/16/2018 12:00:00 AM,2008,16,Male,Black,,Taken into Custody,None,100,CALLAN AV,EVANSTON,"(42.02031892581231, -87.6792164114233)"
48398,18000532,Fri,01/19/2018 12:00:00 AM,1610,42,Male,Black,Not Hispanic,Taken into Custody,Personal (Hands/Fist/Feet),300,CALLAN AV,EVANSTON,"(42.02386984856429, -87.67919741988646)"
48401,18000568,Sun,01/21/2018 12:00:00 AM,1038,59,Male,White,,On View,None,500,DODGE AV/OAKTON ST,EVANSTON,"(42.0275158555584, -87.69943635426894)"
48413,18000597,Mon,01/22/2018 12:00:00 AM,1325,23,Male,Black,Not Hispanic,Taken into Custody,Personal (Hands/Fist/Feet),1200,SOUTH BL,EVANSTON,"(42.02780049432733, -87.6892830781476)"
48416,18000640,Wed,01/24/2018 12:00:00 AM,45,36,Female,White,Not Hispanic,On View,None,100,ASBURY AV,EVANSTON,"(42.02053223313827, -87.69015316502616)"
48417,18000644,Wed,01/24/2018 12:00:00 AM,834,59,Male,Black,,Taken into Custody,None,200,ASBURY AV,EVANSTON,"(42.022339108703086, -87.69013374998)"
48418,18000647,Wed,01/24/2018 12:00:00 AM,1029,49,Male,White,,On View,None,1000,HOWARD ST,EVANSTON,"(42.01950824721509, -87.68645463516181)"
