Day of the Week,Field Contact Date,Street Number,Street Name,City
Mon,03/18/2019 11:51:00 AM,1100,CHURCH ST/OAK AV,EVANSTON
Mon,03/18/2019 07:41:00 AM,1600,SHERMAN AV,EVANSTON
Mon,03/18/2019 01:24:00 AM,100,ELMWOOD AV,EVANSTON
Sat,03/16/2019 10:02:00 PM,3300,GOLF RD,SKOKIE
Sat,03/16/2019 10:02:00 PM,3300,GOLF RD,SKOKIE
Sat,03/16/2019 10:02:00 PM,3300,GOLF RD,SKOKIE
Sat,03/16/2019 01:08:00 AM,1700,MCCORMICK BL/,EVANSTON
Fri,03/15/2019 04:44:00 PM,1300,AUSTIN ST/ASBURY AV,EVANSTON
Wed,03/13/2019 11:44:00 PM,1700,EMERSON ST,EVANSTON
Wed,03/13/2019 07:41:00 AM,1700,SHERMAN AV,EVANSTON
Mon,03/11/2019 12:33:00 PM,2700,RIDGE AV,EVANSTON
Sun,03/10/2019 01:59:00 AM,1300,FOWLER AV/DEMPSTER ST,EVANSTON
Fri,03/08/2019 11:40:00 PM,100,RIDGE AV/HOWARD ST,EVANSTON
Mon,03/04/2019 09:46:00 AM,100,CUSTER AV,EVANSTON
Sun,03/03/2019 01:43:00 AM,2800,ELGIN RD,EVANSTON
Sun,03/03/2019 01:40:00 AM,7500,WESTERN,CHICAGO
Thu,02/28/2019 11:06:00 PM,2000,OAKTON ST/GREY AV,EVANSTON
Thu,02/28/2019 06:29:00 PM,1000,HOWARD ST,EVANSTON
Wed,02/27/2019 09:28:00 AM,2700,RIDGE AV,EVANSTON
Wed,02/27/2019 01:36:00 AM,,HARTREY AV/CLEVELAND ST,EVANSTON
Tue,02/26/2019 05:48:00 PM,600,HOWARD ST,EVANSTON
Mon,02/25/2019 06:40:00 PM,2300,EMERSON ST,EVANSTON
Mon,02/25/2019 04:30:00 PM,1700,GREY AV,EVANSTON
Mon,02/25/2019 04:30:00 PM,1700,GREY AV,EVANSTON
Mon,02/25/2019 04:13:00 PM,500,HOWARD ST,EVANSTON
Sun,02/24/2019 05:18:00 AM,1100,JUDSON AV,EVANSTON
Sat,02/23/2019 12:19:00 AM,1000,HULL TER,EVANSTON
Thu,02/21/2019 03:59:00 PM,,SHERIDAN/ROGERS,CHICAGO
Thu,02/21/2019 03:59:00 PM,200,RIDGE AV,EVANSTON
Thu,02/21/2019 03:59:00 PM,,SHERIDAN/ROGERS,CHICAGO
Thu,02/21/2019 03:39:00 PM,,SHERIDAN/ROGERS,CHICAGO
Thu,02/21/2019 01:52:00 PM,700,MULFORD ST,EVANSTON
Thu,02/21/2019 11:36:00 AM,1200,OAKTON ST,EVANSTON
Thu,02/21/2019 10:07:00 AM,1200,OAKTON ST,EVANSTON
